,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
0,-0.2,4.909602565246558e-07,-4.6776477416333996e-06,1.284062960688907e-06,-2.156451761416295e-06,-4.242217392046795e-06,1.0487631328466e-06,3.619022243152492e-07,3.356504573724642e-06,-1.647352800267771e-05,3.801275910726642e-06,-7.656005906397737e-07
1,-0.192,-3.4624742068340093e-07,-4.497250095041724e-06,-3.243371172559793e-08,-1.0372112326170388e-06,-1.7056231308676786e-06,6.546717049370505e-07,3.453605842534573e-07,2.6847026401043474e-06,-1.3796820011034238e-05,6.996564017076853e-07,-1.8393888681568205e-06
2,-0.184,2.1967304033828592e-06,-3.6148874345204486e-06,1.1874519873004242e-06,-3.4303729661738884e-06,-2.8173709150765235e-06,1.3950078291390764e-06,3.289583064289641e-07,5.0731128795303845e-06,-1.1572537297277301e-05,3.276418190954269e-08,-1.8052513684456595e-06
3,-0.176,6.1653866185079596e-06,-1.8626127994015293e-06,3.966053355493965e-06,-8.297218926728736e-06,-7.3098562557097386e-06,4.012524536638705e-06,2.8801556686399623e-06,7.968907429254319e-06,-1.3871247892508896e-05,-3.4665896609127286e-06,-5.2260748933365205e-08
4,-0.168,5.01009055435036e-06,3.2474903010266206e-07,4.400088023134772e-06,-1.023313703409947e-05,-8.068431058558107e-06,4.270733847129767e-06,3.673919158935993e-06,5.897553865539469e-06,-2.0473943435208108e-05,-9.16392927019274e-06,1.3904961694428647e-06
5,-0.16,-5.93133265971313e-07,1.40958144486207e-06,8.887352703926494e-07,-8.027691869623956e-06,-6.339688862002262e-06,6.779447734874648e-07,5.241495265391902e-07,-1.1513345425559965e-07,-2.545326725959093e-05,-1.197151389127378e-05,5.197635093354341e-07
6,-0.152,-2.809563849248015e-06,8.534859395123747e-07,-1.4563962390263943e-06,-6.4446471419026465e-06,-7.768980938496703e-06,-5.234677584096683e-07,4.330820398673416e-07,-3.2904984868131795e-06,-2.6674034873177736e-05,-1.3662597151036871e-05,-3.7271494972036427e-07
7,-0.144,-3.9046177747258663e-07,2.1678290140755158e-06,2.125396335586072e-07,-6.570990940131413e-06,-8.75034019282968e-06,2.1578584952762768e-06,4.281491502966828e-06,-2.9056872213478448e-06,-2.6321456766725423e-05,-1.4736386429108092e-05,4.080520001454617e-07
8,-0.136,6.189727066936231e-07,6.76048519914853e-06,1.1066040328809356e-06,-4.649123630946151e-06,-6.217002289851094e-06,2.870204374940217e-06,5.10467199713101e-06,-3.426661432535536e-06,-2.4275075105638865e-05,-1.0482210104872218e-05,9.595093708498216e-07
9,-0.128,-4.54193087243047e-07,9.681957144920619e-06,-4.191932738492793e-07,-1.7968930928592072e-06,-5.76612110726822e-06,1.5843599691625013e-06,3.874325152513998e-06,-4.2872783332727045e-06,-2.187159916556971e-05,-3.945391166664479e-06,9.495692158488328e-07
10,-0.12,4.2114324919016504e-07,9.64972964605763e-06,-8.648266139094645e-07,-2.1721291483430274e-06,-7.473578754587813e-06,1.6629254296638858e-06,4.007108290518413e-06,-3.4115931835843295e-06,-2.138169182559002e-05,-1.8624577923402675e-06,1.572109958508393e-06
11,-0.112,1.7850385432561417e-06,1.0688625269627272e-05,-8.824655138600412e-07,-3.3875502035120486e-06,-5.5976258352177554e-06,8.101870056625318e-07,2.0447846816991835e-06,-3.353322051749164e-06,-1.8786430598053754e-05,-1.7359564284623026e-06,1.4072841529053359e-06
12,-0.104,2.510180350897341e-07,1.0880569829459769e-05,-1.8308095174033088e-06,-1.586983586756132e-06,-2.939198642376605e-06,-1.061387944818924e-06,-4.6953379081266647e-07,-4.513784739822856e-06,-1.1765362110834507e-05,-1.102048311199072e-06,3.0710210226167587e-08
13,-0.096,-2.4463030399269606e-06,8.535132083139472e-06,-1.7911766927779835e-06,1.057778670119657e-06,-2.752544792441917e-06,-4.554532344200947e-07,1.3598351208442195e-06,-4.055863448739906e-06,-4.89579714712559e-06,-2.7142415278735846e-06,5.725968606569246e-07
14,-0.088,-4.194300231793688e-06,1.0893755253004292e-05,-2.3709636227476224e-06,3.121165709223735e-06,5.950329143109948e-07,-4.819478045053495e-07,1.8417692991307804e-06,-3.347941663328259e-06,2.743393523557018e-06,-2.396133481039575e-06,2.8981398013077255e-06
15,-0.08,-5.124259574357539e-06,1.71420800242159e-05,-4.9267936366070975e-06,6.088507705778649e-06,6.461655525168894e-06,-3.8078985269601287e-06,-2.9876203088471617e-06,-3.9885287959605866e-06,1.3759773092256587e-05,4.131953366027038e-06,2.4744598609860606e-06
16,-0.072,-4.8479497715707e-06,1.540011726621478e-05,-5.120514465431603e-06,7.910833196342316e-06,6.898984582917403e-06,-5.170093568048834e-06,-5.4936936585714585e-06,-3.3091129910282176e-06,1.9930431284485525e-05,8.75791981587939e-06,-8.826646794731486e-07
17,-0.064,-3.940612880310464e-06,7.844400373531552e-06,-2.8680667751730298e-06,7.103496699411786e-06,5.224893831568422e-06,-3.5942555073319998e-06,-4.055557962345287e-06,-1.4399734923106946e-06,1.85948688196296e-05,7.104994367630695e-06,-2.5337242150304206e-06
18,-0.056,-2.6597961172027337e-06,6.3658705202171675e-06,-2.049700217192366e-06,6.446590539077627e-06,8.75785434208891e-06,-3.174355752735313e-06,-4.252104036246113e-06,-4.802025848518244e-07,2.1656391161043186e-05,6.8708430418900666e-06,-1.1740938103882114e-06
