,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
0,-0.2,9.946813661748169e-08,-1.704484054957481e-05,1.410850680231829e-07,-5.976461100948598e-05,3.306348816812194e-06,-2.1072753833875657e-06,-5.760327558738193e-06,-5.95207264281888e-06,1.4150491846997445e-05,-2.337169192511735e-05,7.699100290504333e-07
1,-0.192,4.087392008322748e-06,-1.425431846606326e-05,1.7502293262122498e-06,-6.193860366926421e-05,2.294590701279566e-07,-1.49311095363663e-06,-5.7766150375538165e-06,-4.361865217628152e-06,1.504002365697331e-05,-1.755405236448437e-05,2.22823527354996e-06
2,-0.184,6.378432486526742e-06,-1.0019321858922117e-05,1.8561987465852136e-06,-5.34866314367049e-05,-1.9437480060990724e-06,-2.5528393409818945e-06,-7.974511442055777e-06,-1.3246823272414715e-06,2.0698789982049984e-05,-1.0720968646882638e-05,2.571248721048657e-06
3,-0.176,3.3285017707400826e-06,-1.04025169097451e-05,1.7470425915923433e-06,-4.039433582137322e-05,-1.7809529409989468e-06,-4.222531590253793e-06,-1.0394736246654369e-05,8.188159417251213e-07,2.7607378482373784e-05,-3.048271421923568e-06,1.5685206460976674e-06
4,-0.168,8.945324708521001e-07,-1.777469111352939e-05,1.454118791501728e-06,-3.920140541797552e-05,-4.765383580332621e-07,-4.080874961448669e-06,-9.949607649038936e-06,5.160098301888865e-07,2.9715178823528616e-05,3.5540982199748845e-06,-8.587340585129438e-07
5,-0.16,5.878378056207593e-06,-2.6704561881956893e-05,2.432256405322088e-06,-4.17607404618814e-05,-1.0707702292875167e-06,-1.4790085093031863e-06,-6.740393872360286e-06,2.054175522181137e-06,2.4306626167699665e-05,1.040734902133263e-05,-2.2640001964125064e-06
6,-0.152,1.1004835218693945e-05,-3.249404168682778e-05,4.917205336365618e-06,-3.520584263308261e-05,-3.037454005202538e-06,1.2219526216077765e-06,-3.289103209918984e-06,5.5855035535572365e-06,1.6852866424604382e-05,1.785952421181088e-05,-5.796873400259757e-07
7,-0.144,6.708433396418513e-06,-3.1589827713317576e-05,3.992347554937383e-06,-2.6460708553714597e-05,-3.0946343873180523e-06,5.922079952094071e-07,-2.757026408961606e-06,5.015554938168037e-06,1.2974605255442805e-05,2.4268902356634443e-05,8.244545965037795e-07
8,-0.136,1.8248157268496954e-07,-2.2560300897661467e-05,-4.1072737656889e-07,-1.9514486988311598e-05,-2.2226012818734223e-06,-1.6963059004578058e-06,-3.838920090364001e-06,1.6112467220743532e-06,1.0393811694796958e-05,2.9338424590316342e-05,-6.573551569899771e-07
9,-0.128,2.3364224617500344e-06,-1.2698186530758146e-05,-5.131738950243429e-07,-9.358846805839702e-06,-3.5655446604509864e-06,-7.071254992318936e-07,-2.108820630289986e-06,2.340012211602362e-06,7.0859845151643145e-06,3.0818540852498525e-05,-1.6969196405004738e-06
10,-0.12,7.705794434190985e-06,-8.531899873095727e-06,3.5052641675853255e-06,-8.42634837241102e-07,-5.143710123267171e-06,2.0430671348585034e-06,7.483540671942645e-07,5.103571323121461e-06,5.324868381224575e-06,2.5785761534992745e-05,-9.634402148110446e-07
11,-0.112,5.255738657726685e-06,-5.251976125841292e-06,3.2648820833227075e-06,2.945939348976926e-06,-3.1322745136123593e-06,1.7303187423912341e-06,8.203748524497495e-07,3.0827309271536647e-06,2.955403038468244e-06,1.6612792245614136e-05,-1.6577080062168422e-06
12,-0.104,-2.5340621865652626e-06,8.871068453087667e-08,-3.385004578561388e-07,1.1044306379090576e-05,1.1870256106786036e-06,2.0338459541476777e-07,1.0346949863188144e-06,-1.4990768145515522e-06,-4.905112651296596e-06,5.8865249106294745e-06,-3.090682676316606e-06
13,-0.096,-5.303847624396808e-06,2.183478617923328e-06,-7.333853129021309e-07,2.196896734375777e-05,3.8314185353193275e-06,9.059675877142446e-07,3.5104480347679945e-06,-2.5849023193026856e-06,-1.5136299130081259e-05,-5.7889011012572535e-06,-1.942196845814247e-06
14,-0.088,-1.7005066732064004e-06,2.3600760847853233e-06,-8.666187989218325e-08,2.4099918841494865e-05,3.555902494534839e-06,1.6279915407726723e-06,4.3275566762501685e-06,-1.466081741881683e-06,-1.9677553952437047e-05,-1.268165622134895e-05,1.729461052545626e-07
15,-0.08,7.609676705734135e-07,7.430508611669853e-06,-1.909701658966941e-06,2.2146312643533432e-05,1.826661041909537e-06,6.167485169295885e-07,3.0009811113946546e-06,-1.9201090680498673e-06,-1.7788085361216264e-05,-1.096295787882393e-05,9.62955856086885e-07
16,-0.072,-7.557181074745846e-07,1.4987592553971475e-05,-2.5575473468906175e-06,2.736656391388951e-05,2.7039385434468437e-07,-2.3970010756620744e-09,2.909450114680029e-06,-2.6665738745243163e-06,-1.6137564947141834e-05,-7.3694250894983535e-06,2.08483450230511e-06
17,-0.064,-2.1662318081621982e-06,1.8923548263677508e-05,-8.727669695470208e-07,3.337511476015165e-05,-4.765423284392082e-07,4.5326380908508427e-07,3.64924836912387e-06,-1.9648792960847443e-06,-1.75922211569697e-05,-6.339101251619416e-06,3.210892968723583e-06
18,-0.056,-1.8645281246832761e-06,2.020529174765309e-05,-5.594062606208921e-07,3.180481959953905e-05,-5.842860623632541e-07,6.502996288221348e-07,3.4576308715541226e-06,-1.2743391663907604e-06,-1.8586670203305354e-05,-4.379192285986323e-06,1.975397603713055e-06
19,-0.048,-1.735623171980642e-06,2.1297339026088476e-05,-1.1610593851810083e-06,2.9783666129645034e-05,-4.254720488056382e-07,3.8267180178021215e-07,2.771137928392384e-06,-8.401533476205762e-07,-1.7542727666603303e-05,-3.038179577049187e-06,5.070290922261888e-07
20,-0.04,-2.5620592189485936e-06,2.1668654943119506e-05,-5.866743848128258e-07,3.195797044060366e-05,9.703782773303371e-08,4.278951649848516e-07,2.7591979319156642e-06,2.457822467407459e-07,-1.603148712797282e-05,-6.8333542412966165e-06,1.1537419771057097e-06
21,-0.032,-5.028582167063602e-06,2.164846443055944e-05,-9.84252860739131e-07,3.2136658915417175e-05,1.5544269202202353e-06,1.3207350713974223e-06,4.755542431099874e-06,5.34905104063305e-07,-1.3332066889900232e-05,-1.2341154329950975e-05,8.839908564036286e-07
22,-0.024,-8.588612228684454e-06,2.241299170951297e-05,-3.1808341948372064e-06,3.0534349568430323e-05,3.4456866887235824e-06,2.003418790277124e-06,7.009244146131412e-06,-6.194511116688283e-07,-9.476930649801713e-06,-1.4908302830145217e-05,-1.4319027312128093e-06
23,-0.016,-9.465239735625496e-06,2.2952536354354e-05,-4.295817039451518e-06,3.1942315196863916e-05,3.7878546208756126e-06,1.0691193513900126e-06,5.8999261262364545e-06,-1.0669483130190145e-06,-7.57259095820424e-06,-1.4428382919198352e-05,-1.8873215926117798e-06
